program_id,asset_name,company_name,therapeutic_strategy,mechanism,modality,development_stage,genotype_scope,population_description,cff_listed_status,review_status,source_id,notes
cff-southern-research,Southern Research nonsense program,Southern Research,nonsense_readthrough,discovery of nonsense-mutation therapies,small_molecule,preclinical,nonsense mutations,,listed,unreviewed,cff_pipeline_web,Preclinical discovery program.
cff-pulmozyme,Pulmozyme (dornase alfa),Genentech / Roche,mucociliary_clearance,DNase,biologic_inhaled,approved,mutation-agnostic,People with CF using mucolytics,to_patients,curated_listed_approved,cff_pipeline_web,Also in therapies table.
cff-hypertonic-saline,Hypertonic saline,multiple,mucociliary_clearance,osmotic hydrator,device_plus_drug,standard_of_care,mutation-agnostic,,to_patients,curated_listed_approved,cff_pipeline_web,Also in therapies table.
cff-bronchitol,Bronchitol (inhaled mannitol),Pharmaxis / Chiesi,mucociliary_clearance,osmotic hydrator,small_molecule_inhaled,approved,mutation-agnostic,,to_patients,curated_listed_approved,cff_pipeline_web,
cff-verducatib,Verducatib (BI-1291583),Boehringer Ingelheim,anti_inflammatory,anti-inflammatory,small_molecule,phase_3,mutation-agnostic,Residual lung inflammation,listed,unreviewed,cff_pipeline_web,CFF page listed Phase Three at retrieval. Confirm identity versus brensocatib-class DPP1 inhibitors.
cff-brensocatib,Brensocatib,Insmed,anti_inflammatory,DPP1 inhibitor,small_molecule,phase_2,mutation-agnostic,Airway inflammation including bronchiectasis-related programs,listed,unreviewed,cff_pipeline_web,May be primarily non-CF bronchiectasis. Population mapping required in Phase 4.
cff-acebilustat,Acebilustat (CTX-4430),,anti_inflammatory,LTA4H inhibitor,small_molecule,phase_2,mutation-agnostic,,listed,unreviewed,cff_pipeline_web,May be discontinued. Review required.
cff-lau-7b,LAU-7b,,anti_inflammatory,fenretinide analog,small_molecule,phase_2,mutation-agnostic,,listed,unreviewed,cff_pipeline_web,
cff-high-dose-ibuprofen,High-dose ibuprofen,generic,anti_inflammatory,NSAID,small_molecule,standard_of_care,mutation-agnostic,Selected patients,to_patients,unreviewed,cff_pipeline_web,Not a CF-specific NDA.
cff-tobramycin,Inhaled tobramycin,multiple,antimicrobial,aminoglycoside,small_molecule_inhaled,approved,mutation-agnostic,PA-positive,to_patients,curated_listed_approved,cff_pipeline_web,Also in therapies table.
cff-tobi-podhaler,TOBI Podhaler,Novartis / later holders,antimicrobial,tobramycin powder,small_molecule_inhaled,approved,mutation-agnostic,PA-positive,to_patients,curated_listed_approved,cff_pipeline_web,
cff-cayston,Cayston (aztreonam),Gilead,antimicrobial,monobactam,small_molecule_inhaled,approved,mutation-agnostic,PA-positive,to_patients,curated_listed_approved,cff_pipeline_web,
cff-azithromycin,Azithromycin,generic,antimicrobial,macrolide immunomodulatory,small_molecule,standard_of_care,mutation-agnostic,PA-positive selected,to_patients,unreviewed,cff_pipeline_web,Registry utilization is high among eligible PA-positive patients.
cff-arikayce,Arikayce,Insmed,antimicrobial,liposomal amikacin,liposomal_inhaled,approved,not CF-specific,MAC NTM with limited options,to_patients,unreviewed,cff_pipeline_web,FDA indication is MAC not CF.
cff-opelconazole,Opelconazole,,antifungal,inhaled azole,small_molecule_inhaled,phase_3,mutation-agnostic,Fungal lung disease including possible CF use,listed,unreviewed,cff_pipeline_web,CFF page listed Phase Three. Map actual CF versus aspergillosis programs in Phase 4.
cff-ap-pa02,AP-PA02,Armata Pharmaceuticals,phage,P. aeruginosa bacteriophage,phage,phase_2,mutation-agnostic,Chronic P. aeruginosa,listed,unreviewed,cff_pipeline_web,CFF page listed Phase Two.
cff-bx004,BX004-A,BiomX,phage,P. aeruginosa bacteriophage,phage,phase_2,mutation-agnostic,Chronic P. aeruginosa,listed,unreviewed,cff_pipeline_web,CFF page listed Phase Two.
cff-cmtx-101,CMTX-101,,antimicrobial,anti-biofilm / antibody-related approach as described by CFF listing,biologic,phase_2,mutation-agnostic,Chronic infection,listed,unreviewed,cff_pipeline_web,Confirm mechanism and sponsor in Phase 4.
cff-ar-501,AR-501 (Panaecin),Aridis,antimicrobial,inhaled gallium / anti-infective as listed,small_molecule_inhaled,phase_2,mutation-agnostic,,listed,unreviewed,cff_pipeline_web,
cff-iv-gallium,Intravenous gallium,,antimicrobial,gallium,small_molecule,phase_2,mutation-agnostic,,listed,unreviewed,cff_pipeline_web,
cff-pancrelipase,Pancrelipase enzyme products,multiple,gi_nutrition,PERT,oral_enzyme,approved,mutation-agnostic,Pancreatic insufficiency,to_patients,curated_listed_approved,cff_pipeline_web,Also in therapies table.
cff-relizorb,RELiZORB,Alcresta,gi_nutrition,in-line lipase cartridge for tube feeding,device,approved,mutation-agnostic,People using enteral feeds,to_patients,curated_listed_approved,cff_pipeline_web,Device rather than a systemic drug.
cff-aquadeks,AquADEKs,,gi_nutrition,fat-soluble vitamin supplement,supplement,standard_of_care,mutation-agnostic,,to_patients,unreviewed,cff_pipeline_web,
cff-bionic-pancreas,Bionic Pancreas,,metabolic_cfrd,automated insulin delivery,device,phase_3,mutation-agnostic,CFRD / insulin-requiring diabetes in CF,listed,unreviewed,cff_pipeline_web,CFF page listed Phase Three. Map to actual NCT IDs in Phase 4.
cff-adrulipase,Adrulipase (MS1819-SD),,gi_nutrition,non-porcine lipase,enzyme,phase_2,mutation-agnostic,Pancreatic insufficiency,listed,unreviewed,cff_pipeline_web,May be discontinued. Review required.
cff-ang003,ANG003,,gi_nutrition,GI / nutritional candidate as listed,unknown,phase_2,mutation-agnostic,,listed,unreviewed,cff_pipeline_web,Mechanism needs review.
