asset_id,asset_name,company_name,source,strategy,need_ids,role,stage,activity_status,sponsor_class,nct_ids,map_eligible,whitespace_relevant,crowding_unit,review_status,review_notes
cff-trikafta,Trikafta (elexacaftor/tezacaftor/ivacaftor),Vertex Pharmaceuticals,cff_pipeline,cftr_modulator,N2,label_expansion,approved,approved,INDUSTRY,NCT05331183;NCT06460506;NCT04602468;NCT07809867,1,0,1,reviewed,US-approved ETI. Remaining trials are pediatric OLE or real-world/PK.
cff-sion-451,SION-451,Sionna Therapeutics,cff_pipeline,cftr_modulator,N2,therapeutic,phase_1,active_clinical,INDUSTRY,NCT07035990,1,1,1,reviewed,Phase 1 combination NBD1 stabilizer plus complementary correctors. One crowding unit.
trial:NCT07283770,VX-581,Vertex Pharmaceuticals,clinicaltrials,cftr_modulator,N2,therapeutic,phase_1,active_clinical,INDUSTRY,NCT07283770,1,1,1,reviewed,Healthy-volunteer dose-escalation of a next-gen Vertex modulator. CF franchise; not an approved product.
trial:NCT07437105,VX-272,Vertex Pharmaceuticals,clinicaltrials,cftr_modulator,N2,therapeutic,phase_1,active_clinical,INDUSTRY,NCT07437105,1,1,1,reviewed,Healthy-volunteer dose-escalation of a next-gen Vertex modulator.
cff-sion-719,SION-719,Sionna Therapeutics,cff_pipeline,cftr_modulator,N2,therapeutic,phase_2,active_clinical,INDUSTRY,NCT07108153,1,1,1,reviewed,Phase 2 NBD1 stabilizer.
cff-prime-medicine,Prime Medicine,Prime Medicine,cff_pipeline,gene_editing,N1,therapeutic,preclinical,preclinical,INDUSTRY,,1,1,1,reviewed,CFF preclinical prime-editing listing. No human CF trial in this snapshot.
cff-kb407,KB407,Krystal Biotech,cff_pipeline,gene_therapy,N1,therapeutic,phase_1,active_clinical,INDUSTRY,NCT05504837,1,1,1,reviewed,Recruiting Phase 1 inhaled gene therapy.
cff-sp-101,SP-101,Spirovant Sciences,cff_pipeline,gene_therapy,N1,therapeutic,phase_1,active_clinical,INDUSTRY,NCT06526923,1,1,1,reviewed,Recruiting Phase 1/2 AAV CFTR gene therapy.
trial:NCT06962852,BI 3720931,Boehringer Ingelheim,clinicaltrials,gene_therapy,N1,therapeutic,phase_1,active_clinical,INDUSTRY,NCT06962852,1,1,1,reviewed,Long-term follow-up of BI CFTR gene-therapy participants. No matching CFF pipeline row in this snapshot.
cff-4d-710,4D-710,4D Molecular Therapeutics,cff_pipeline,gene_therapy,N1,therapeutic,phase_2,active_clinical,INDUSTRY,NCT05248230,1,1,1,reviewed,Recruiting Phase 2 AAV CFTR gene therapy.
cff-gensaic,Gensaic,Gensaic,cff_pipeline,gene_therapy,N1,therapeutic,preclinical,preclinical,INDUSTRY,,1,1,1,reviewed,CFF preclinical listing only. Incomplete by construction; low evidence-confidence for activity.
cff-vianautis,ViaNautis Bio,ViaNautis Bio,cff_pipeline,genetic_therapy,N1,therapeutic,preclinical,preclinical,INDUSTRY,,1,1,1,reviewed,CFF preclinical non-viral delivery listing.
cff-pancrelipase,Pancrelipase enzyme products,multiple,cff_pipeline,gi_nutrition,N6,therapeutic,approved,approved,SOC_OR_GENERIC,,1,0,1,reviewed,Approved PERT class. Residual need is disease not product absence.
cff-relizorb,RELiZORB,Alcresta,cff_pipeline,gi_nutrition,N6,therapeutic,approved,approved,INDUSTRY,,1,0,0,reviewed,Approved in-line lipase cartridge. Crowding counted on pancrelipase as class representative.
trial:NCT07569419,Linaclotide for CF GI disease,University of Nottingham,clinicaltrials,gi_nutrition,N6,therapeutic,phase_1,active_clinical,ACADEMIC_OR_OTHER,NCT07569419,1,1,0,reviewed,Academic proof-of-principle. Crowding unit 0.
cff-ang003,ANG003,,cff_pipeline,gi_nutrition,N6,therapeutic,phase_2,active_clinical,INDUSTRY,NCT07450547,1,1,1,reviewed,Recruiting Phase 2 GI/nutritional candidate.
trial:NCT06413368,Maralixibat for CF constipation,Children's Hospital Los Angeles,clinicaltrials,gi_nutrition,N6,therapeutic,phase_2,active_clinical,ACADEMIC_OR_OTHER,NCT06413368,1,1,0,reviewed,Academic/repurposed IBAT inhibitor. Crowding unit 0.
trial:NCT07559175,NHS7108,"Aimmune Nestlé Health Science US R&D, LLC",clinicaltrials,gi_nutrition,N6,therapeutic,phase_2,active_clinical,INDUSTRY,NCT07559175,1,1,1,reviewed,Industry lipase for exocrine pancreatic insufficiency. Not on the CFF pipeline snapshot.
trial:NCT06810167,Tenapanor for CF-related constipation,Massachusetts General Hospital,clinicaltrials,gi_nutrition,N6,therapeutic,phase_3,active_clinical,ACADEMIC_OR_OTHER,NCT06810167,1,1,0,reviewed,Academic/repurposed NHE3 inhibitor. Crowding unit 0.
cff-aquadeks,AquADEKs,,cff_pipeline,gi_nutrition,N6,therapeutic,standard_of_care,standard_of_care,SOC_OR_GENERIC,,1,0,0,reviewed,Vitamin supplement SoC. Not whitespace.
trial:NCT06995651,Dorzagliatin in pancreatic-insufficient CF,"Michael R. Rickels, MD, MS",clinicaltrials,metabolic_cfrd,N5,therapeutic,phase_1,active_clinical,ACADEMIC_OR_OTHER,NCT06995651,1,1,0,reviewed,Academic glucokinase activator. Crowding unit 0.
trial:NCT04530383,Metformin in CFRD,University of Kansas Medical Center,clinicaltrials,metabolic_cfrd,N5,therapeutic,phase_2,active_clinical,ACADEMIC_OR_OTHER,NCT04530383,1,1,0,reviewed,Academic repurposing on modulator therapy. Crowding unit 0: not a CF-specific product franchise.
trial:NCT04731272,Dulaglutide in CF-related glucose intolerance,University of Pennsylvania,clinicaltrials,metabolic_cfrd,N5,therapeutic,phase_2,active_clinical,ACADEMIC_OR_OTHER,NCT04731272,1,1,0,reviewed,Academic GLP-1 agonist study. Crowding unit 0.
trial:NCT06149793,Empagliflozin in CFRD,University of Minnesota,clinicaltrials,metabolic_cfrd,N5,therapeutic,phase_2,active_clinical,ACADEMIC_OR_OTHER,NCT06149793,1,1,0,reviewed,Academic SGLT2 inhibitor study. Crowding unit 0.
trial:NCT07688070,Verapamil in CF-related dysglycemia,Rhode Island Hospital,clinicaltrials,metabolic_cfrd,N5,therapeutic,phase_2,active_clinical,ACADEMIC_OR_OTHER,NCT07688070,1,1,0,reviewed,Academic metabolic study. Crowding unit 0.
cff-bionic-pancreas,Bionic Pancreas,,cff_pipeline,metabolic_cfrd,N5,therapeutic,phase_3,active_clinical,SOC_OR_GENERIC,NCT06449677,1,1,1,reviewed,Recruiting Phase 3 iLet in CFRD.
cff-vx-522,VX-522 mRNA,Vertex Pharmaceuticals,cff_pipeline,mrna,N1,therapeutic,phase_1,active_clinical,INDUSTRY,NCT05668741,1,1,1,reviewed,ACTIVE_NOT_RECRUITING Phase 1/2. CFF blurb used past tense; CT.gov status is still active-like so do not mark discontinued.
trial:NCT06963008,BMD003,Peking Union Medical College Hospital,clinicaltrials,mrna,N1,therapeutic,phase_1,active_clinical,ACADEMIC_OR_OTHER,NCT06963008,1,1,1,reviewed,Chinese investigator-initiated inhaled CFTR mRNA. Pair with NCT07485543 as one asset via shared name; this row carries crowding_unit.
cff-arct-032,ARCT-032 (LUNAR-CF),Arcturus Therapeutics,cff_pipeline,mrna,N1,therapeutic,phase_2,active_clinical,INDUSTRY,NCT06747858,1,1,1,reviewed,Recruiting Phase 2 inhaled CFTR mRNA.
cff-rct2100,RCT2100,ReCode Therapeutics,cff_pipeline,mrna,N1,therapeutic,phase_2,active_clinical,INDUSTRY,NCT06237335,1,1,1,reviewed,ACTIVE_NOT_RECRUITING Phase 2 CFTR mRNA.
cff-nanite,Nanite,Nanite,cff_pipeline,mrna,N1,therapeutic,preclinical,preclinical,INDUSTRY,,1,1,1,reviewed,CFF preclinical delivery listing only.
cff-bronchitol,Bronchitol (inhaled mannitol),Pharmaxis / Chiesi,cff_pipeline,mucociliary_clearance,N3,therapeutic,approved,approved,INDUSTRY,,1,0,0,reviewed,Approved inhaled mannitol. Crowding_unit 0 versus Pulmozyme/HS as the SoC class representatives.
cff-pulmozyme,Pulmozyme (dornase alfa),Genentech / Roche,cff_pipeline,mucociliary_clearance,N3,therapeutic,approved,approved,INDUSTRY,,1,0,1,reviewed,Approved DNase. Standard mucolytic class.
cff-hypertonic-saline,Hypertonic saline,multiple,cff_pipeline,mucociliary_clearance,N3,therapeutic,standard_of_care,standard_of_care,SOC_OR_GENERIC,,1,0,1,reviewed,SoC hydrator rather than a company-formation asset.
cff-southern-research,Southern Research nonsense program,Southern Research,cff_pipeline,nonsense_readthrough,N1,therapeutic,preclinical,preclinical,ACADEMIC_OR_OTHER,,1,1,1,reviewed,CFF preclinical discovery listing only.
trial:NCT07289035,Tamoxifen in modulator-ineligible CF,Azienda Ospedaliera Universitaria Integrata Verona,clinicaltrials,other,N1,therapeutic,phase_2,active_clinical,ACADEMIC_OR_OTHER,NCT07289035,1,1,1,reviewed,Early academic study in people unable to use modulators. Mechanism (CFTR trafficking vs other) is unconfirmed; keep strategy=other.
trial:NCT07275905,AchromoPhage,Ghady Haidar,clinicaltrials,phage,N4,therapeutic,phase_1,active_clinical,ACADEMIC_OR_OTHER,NCT07275905,1,1,1,reviewed,Academic Achromobacter phage Phase 1.
trial:NCT07280598,IV bacteriophage cocktail plus IV antibiotics,"University of California, San Diego",clinicaltrials,phage,N4,therapeutic,phase_1,active_clinical,ACADEMIC_OR_OTHER,NCT07280598,1,1,0,reviewed,Academic combination phage-antibiotic safety study. Crowding counted on other phage assets if industry; this remains map-visible but crowding_unit 0 to avoid triple-counting academic phage.
cff-bx004,BX004-A,BiomX,cff_pipeline,phage,N4,therapeutic,phase_2,active_clinical,INDUSTRY,NCT06998043,1,1,1,reviewed,Recruiting Phase 2 P. aeruginosa phage.
