program_id,asset_name,company_name,cff_strategy,cff_stage,cff_listed_status,activity_status,disease_area,strategy,need_ids,role,map_eligible,whitespace_relevant,crowding_unit,nct_ids,normalized_stage,review_status,review_notes,source_id
cff-mrt5005,MRT5005,Translate Bio / Sanofi,mrna,phase_1,listed,discontinued,cf,mrna,N1,therapeutic,0,0,0,,phase_1,reviewed,Translate Bio/Sanofi inhaled mRNA. Historical; no active CF trial in this snapshot.,cff_pipeline_web
cff-sp-101,SP-101,Spirovant Sciences,gene_therapy,phase_1,listed,active_clinical,cf,gene_therapy,N1,therapeutic,1,1,1,NCT06526923,phase_1,reviewed,Recruiting Phase 1/2 AAV CFTR gene therapy.,cff_pipeline_web
cff-gensaic,Gensaic,Gensaic,gene_therapy,preclinical,listed,preclinical,cf,gene_therapy,N1,therapeutic,1,1,1,,preclinical,reviewed,CFF preclinical listing only. Incomplete by construction; low evidence-confidence for activity.,cff_pipeline_web
cff-nanite,Nanite,Nanite,mrna,preclinical,listed,preclinical,cf,mrna,N1,therapeutic,1,1,1,,preclinical,reviewed,CFF preclinical delivery listing only.,cff_pipeline_web
cff-prime-medicine,Prime Medicine,Prime Medicine,gene_editing,preclinical,listed,preclinical,cf,gene_editing,N1,therapeutic,1,1,1,,preclinical,reviewed,CFF preclinical prime-editing listing. No human CF trial in this snapshot.,cff_pipeline_web
cff-vianautis,ViaNautis Bio,ViaNautis Bio,genetic_therapy,preclinical,listed,preclinical,cf,genetic_therapy,N1,therapeutic,1,1,1,,preclinical,reviewed,CFF preclinical non-viral delivery listing.,cff_pipeline_web
cff-carbon-biosciences,Carbon Biosciences,Carbon Biosciences,gene_therapy,preclinical,listed,listed_inactive_or_unclear,cf,gene_therapy,N1,therapeutic,0,0,0,,preclinical,reviewed,CFF description used past tense and no active CF trial. Do not put on the map.,cff_pipeline_web
cff-carmine,Carmine Therapeutics,Carmine Therapeutics,gene_therapy,preclinical,listed,listed_inactive_or_unclear,cf,gene_therapy,N1,therapeutic,0,0,0,,preclinical,reviewed,CFF past tense; no active CF trial.,cff_pipeline_web
cff-pioneering-medicines,Pioneering Medicines,Pioneering Medicines,gene_editing,preclinical,listed,listed_inactive_or_unclear,cf,gene_editing,N1,therapeutic,0,0,0,,preclinical,reviewed,CFF past tense; no active CF trial.,cff_pipeline_web
cff-recode-intellia,ReCode Therapeutics / Intellia Therapeutics,ReCode Therapeutics / Intellia Therapeutics,gene_editing,preclinical,listed,listed_inactive_or_unclear,cf,gene_editing,N1,therapeutic,0,0,0,,preclinical,reviewed,CFF past tense; ReCode's active human program in this snapshot is RCT2100 mRNA not this editing collab.,cff_pipeline_web
cff-saliogen,SalioGen Therapeutics,SalioGen Therapeutics,gene_editing,preclinical,listed,listed_inactive_or_unclear,cf,gene_editing,N1,therapeutic,0,0,0,,preclinical,reviewed,CFF past tense; no active CF trial.,cff_pipeline_web
cff-ataluren,Ataluren,PTC Therapeutics,nonsense_readthrough,phase_3,listed,discontinued,cf,nonsense_readthrough,N1,therapeutic,0,0,0,,phase_3,reviewed,CF development failed historically. Still listed on the CFF page snapshot; not map-eligible.,cff_pipeline_web
cff-elx-02,ELX-02,Eloxx Pharmaceuticals,nonsense_readthrough,phase_2,listed,listed_inactive_or_unclear,cf,nonsense_readthrough,N1,therapeutic,0,0,0,,phase_2,reviewed,No matching active CF-like trial in this snapshot. Do not treat as an active readthrough competitor.,cff_pipeline_web
cff-sion-719,SION-719,Sionna Therapeutics,cftr_modulator,phase_2,listed,active_clinical,cf,cftr_modulator,N2,therapeutic,1,1,1,NCT07108153,phase_2,reviewed,Phase 2 NBD1 stabilizer.,cff_pipeline_web
cff-sion-109,SION-109,Sionna Therapeutics,cftr_modulator,phase_1,listed,active_clinical,cf,cftr_modulator,N2,therapeutic,0,0,0,NCT07035990,phase_1,reviewed,Complementary modulator inside the SION-451 combination trial. Not a separate map asset; crowding counted on cff-sion-451.,cff_pipeline_web
cff-sion-2222,SION-2222,Sionna Therapeutics,cftr_modulator,phase_1,listed,active_clinical,cf,cftr_modulator,N2,therapeutic,0,0,0,NCT07035990,phase_1,reviewed,Complementary modulator inside the SION-451 combination trial. Not a separate map asset; crowding counted on cff-sion-451.,cff_pipeline_web
cff-sion-451,SION-451,Sionna Therapeutics,cftr_modulator,phase_1,listed,active_clinical,cf,cftr_modulator,N2,therapeutic,1,1,1,NCT07035990,phase_1,reviewed,Phase 1 combination NBD1 stabilizer plus complementary correctors. One crowding unit.,cff_pipeline_web
cff-sion-638,SION-638,Sionna Therapeutics,cftr_modulator,phase_1,listed,listed_no_active_cf_trial,cf,cftr_modulator,N2,therapeutic,0,0,0,,phase_1,reviewed,CFF Phase 1 listing with no matching active CF trial in this snapshot.,cff_pipeline_web
cff-vx-828,VX-828,Vertex Pharmaceuticals,cftr_modulator,phase_1,listed,listed_no_active_cf_trial,cf,cftr_modulator,N2,therapeutic,0,0,0,,phase_1,reviewed,CFF Phase 1 listing; no matching active CF trial (VX-581/VX-272 HV studies are separate trial-derived assets).,cff_pipeline_web
cff-southern-research,Southern Research nonsense program,Southern Research,nonsense_readthrough,preclinical,listed,preclinical,cf,nonsense_readthrough,N1,therapeutic,1,1,1,,preclinical,reviewed,CFF preclinical discovery listing only.,cff_pipeline_web
cff-pulmozyme,Pulmozyme (dornase alfa),Genentech / Roche,mucociliary_clearance,approved,to_patients,approved,cf,mucociliary_clearance,N3,therapeutic,1,0,1,,approved,reviewed,Approved DNase. Standard mucolytic class.,cff_pipeline_web
cff-hypertonic-saline,Hypertonic saline,multiple,mucociliary_clearance,standard_of_care,to_patients,standard_of_care,cf,mucociliary_clearance,N3,therapeutic,1,0,1,,standard_of_care,reviewed,SoC hydrator rather than a company-formation asset.,cff_pipeline_web
cff-bronchitol,Bronchitol (inhaled mannitol),Pharmaxis / Chiesi,mucociliary_clearance,approved,to_patients,approved,cf,mucociliary_clearance,N3,therapeutic,1,0,0,,approved,reviewed,Approved inhaled mannitol. Crowding_unit 0 versus Pulmozyme/HS as the SoC class representatives.,cff_pipeline_web
cff-verducatib,Verducatib (BI-1291583),Boehringer Ingelheim,anti_inflammatory,phase_3,listed,not_cf_primary,ncfb,anti_inflammatory,N3,not_cf_primary,0,0,0,,phase_3,reviewed,DPP1-class listing with no CF-like active trial in this snapshot. Treat as not CF-primary until a CF protocol appears.,cff_pipeline_web
cff-brensocatib,Brensocatib,Insmed,anti_inflammatory,phase_2,listed,not_cf_primary,ncfb,anti_inflammatory,N3,not_cf_primary,0,0,0,,phase_2,reviewed,Primary development is NCFB. Exclude from CF map.,cff_pipeline_web
cff-acebilustat,Acebilustat (CTX-4430),,anti_inflammatory,phase_2,listed,discontinued,cf,anti_inflammatory,N3,therapeutic,0,0,0,,phase_2,reviewed,CF anti-inflammatory program did not proceed. Off the map.,cff_pipeline_web
cff-lau-7b,LAU-7b,,anti_inflammatory,phase_2,listed,listed_no_active_cf_trial,cf,anti_inflammatory,N3,therapeutic,0,0,0,,phase_2,reviewed,No matching active CF-like trial in this snapshot.,cff_pipeline_web
cff-high-dose-ibuprofen,High-dose ibuprofen,generic,anti_inflammatory,standard_of_care,to_patients,standard_of_care,cf,anti_inflammatory,N3,therapeutic,1,0,0,,standard_of_care,reviewed,Generic SoC for selected patients. Not whitespace.,cff_pipeline_web
cff-tobramycin,Inhaled tobramycin,multiple,antimicrobial,approved,to_patients,approved,cf,antimicrobial,N4,therapeutic,1,0,1,,approved,reviewed,Approved inhaled antipseudomonal. Class representative for approved inhaled antibiotics.,cff_pipeline_web
cff-tobi-podhaler,TOBI Podhaler,Novartis / later holders,antimicrobial,approved,to_patients,approved,cf,antimicrobial,N4,therapeutic,1,0,0,,approved,reviewed,Dry-powder tobramycin. Crowding counted on inhaled tobramycin class.,cff_pipeline_web
cff-cayston,Cayston (aztreonam),Gilead,antimicrobial,approved,to_patients,approved,cf,antimicrobial,N4,therapeutic,1,0,0,,approved,reviewed,Approved inhaled aztreonam. Crowding counted on tobramycin as class representative.,cff_pipeline_web
cff-azithromycin,Azithromycin,generic,antimicrobial,standard_of_care,to_patients,standard_of_care,cf,antimicrobial,N4,therapeutic,1,0,0,,standard_of_care,reviewed,Widely used macrolide. Not a new product.,cff_pipeline_web
cff-arikayce,Arikayce,Insmed,antimicrobial,approved,to_patients,not_cf_primary,mixed,antimicrobial,N4,not_cf_primary,0,0,0,,approved,reviewed,FDA indication is MAC NTM not CF. Off the CF map.,cff_pipeline_web
cff-opelconazole,Opelconazole,,antifungal,phase_3,listed,not_cf_primary,mixed,antifungal,N4,not_cf_primary,0,0,0,,phase_3,reviewed,No matching active CF-like trial. Fungal lung disease is broader than CF.,cff_pipeline_web
cff-ap-pa02,AP-PA02,Armata Pharmaceuticals,phage,phase_2,listed,listed_no_active_cf_trial,cf,phage,N4,therapeutic,0,0,0,,phase_2,reviewed,CFF Phase 2 listing with no matching active CF-like trial in this snapshot. Do not inflate phage crowding.,cff_pipeline_web
cff-bx004,BX004-A,BiomX,phage,phase_2,listed,active_clinical,cf,phage,N4,therapeutic,1,1,1,NCT06998043,phase_2,reviewed,Recruiting Phase 2 P. aeruginosa phage.,cff_pipeline_web
cff-cmtx-101,CMTX-101,,antimicrobial,phase_2,listed,listed_no_active_cf_trial,cf,antimicrobial,N4,therapeutic,0,0,0,,phase_2,reviewed,No matching active CF-like trial.,cff_pipeline_web
cff-ar-501,AR-501 (Panaecin),Aridis,antimicrobial,phase_2,listed,listed_no_active_cf_trial,cf,antimicrobial,N4,therapeutic,0,0,0,,phase_2,reviewed,No matching active CF-like trial (IV gallium is a separate academic protocol).,cff_pipeline_web
cff-iv-gallium,Intravenous gallium,,antimicrobial,phase_2,listed,active_clinical,cf,antimicrobial,N4,therapeutic,1,1,1,NCT04294043,phase_1,reviewed,Recruiting IV gallium for CF-NTM (ABATE).,cff_pipeline_web
cff-pancrelipase,Pancrelipase enzyme products,multiple,gi_nutrition,approved,to_patients,approved,cf,gi_nutrition,N6,therapeutic,1,0,1,,approved,reviewed,Approved PERT class. Residual need is disease not product absence.,cff_pipeline_web
cff-relizorb,RELiZORB,Alcresta,gi_nutrition,approved,to_patients,approved,cf,gi_nutrition,N6,therapeutic,1,0,0,,approved,reviewed,Approved in-line lipase cartridge. Crowding counted on pancrelipase as class representative.,cff_pipeline_web
cff-aquadeks,AquADEKs,,gi_nutrition,standard_of_care,to_patients,standard_of_care,cf,gi_nutrition,N6,therapeutic,1,0,0,,standard_of_care,reviewed,Vitamin supplement SoC. Not whitespace.,cff_pipeline_web
cff-bionic-pancreas,Bionic Pancreas,,metabolic_cfrd,phase_3,listed,active_clinical,cf,metabolic_cfrd,N5,therapeutic,1,1,1,NCT06449677,phase_3,reviewed,Recruiting Phase 3 iLet in CFRD.,cff_pipeline_web
cff-adrulipase,Adrulipase (MS1819-SD),,gi_nutrition,phase_2,listed,discontinued,cf,gi_nutrition,N6,therapeutic,0,0,0,,phase_2,reviewed,Non-porcine lipase historically stalled. No active CF trial.,cff_pipeline_web
cff-ang003,ANG003,,gi_nutrition,phase_2,listed,active_clinical,cf,gi_nutrition,N6,therapeutic,1,1,1,NCT07450547,phase_2,reviewed,Recruiting Phase 2 GI/nutritional candidate.,cff_pipeline_web
